Attraction,Latitude,Longitude,Address,Website,Description,,Photo URL
Canal Park,46.7848,-92.0952,"Canal Park, Duluth, MN 55802",https://canalpark.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Duluth_Drone.jpg/1280px-Duluth_Drone.jpg
Aerial Lift Bridge,46.77908,-92.09301,"601 S Lake Ave, Duluth, MN 55802",https://www.duluthharborcam.com/p/bridge-cam.html,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1930, the span was converted to a vertical lift bridge, and continues to operate today.",,https://visitduluth.com/wp-content/uploads/2025/07/bridge-view-1024x767.jpg
Spirit Mountain Recreation Area,46.7184,-92.21676,"9500 Spirit Mountain Pl, Duluth, MN 55810",https://www.spiritmt.com/,Recreational mountain featuring wintertime downhill skiing & a summertime adventure park.,,https://miro.medium.com/v2/1*c4ozaW4riD9Db91VuGjvJg.jpeg
Glensheen Mansion,46.81612,-92.05015,"3300 London Rd, Duluth, MN 55804",https://www.exploreminnesota.com/profile/glensheen-mansion/2192,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",,https://www.greatlakescruises.com/uploads/1/0/6/4/106440933/glensheen-2_orig.jpg
Great Lakes Aquarium,46.77905,-92.10003,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",,https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg
Jay Cooke State Park,46.65304,-92.35042,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",,https://images.dnr.state.mn.us/destinations/state_parks/banners/spk00187.jpg?stamp=1771867929
North Shore Scenic Railroad,46.78142,-92.10341,"506 W Michigan St, Duluth, MN 55802",https://duluthtrains.com/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/58/d2/dc/north-shore-scenic-railroad.jpg?w=700&h=-1&s=1
Enger Park & Tower,46.7763,-92.12502,"1605 Enger Tower Dr, Duluth, MN 55806",https://duluthmn.gov/parks/parks-trails/parks-listing/enger-park/,Enger Tower was built in 1931 and provides a spectacular 360 view of the Duluth harbor and surrounding area. Enger park also features a surrounding golf course and next to the tower there is a Japanese garden that serves as a popular location for weddings.,,https://visitduluth.com/wp-content/uploads/2025/08/VD-EngerTower-1.jpg
Park Point Beach,46.73154,-92.05098,"4750 Minnesota Ave, Duluth, MN 55802",https://duluthmn.gov/parks/parks-trails/parks-listing/park-point/,"Park Point is located at the end of Minnesota Avenue and is a popular summer destination for swimming and recreation. The park has sand volleyball courts, and multiple pavilions and grills which are available for reservation. During the summer of 2019, an accessible boat launch was installed near the Duluth-Superior Sailing Association.",,https://duluthmn.gov/media/6768/parkpoint2012beach_369x221.jpg
Leif Erikson Park,46.79601,-92.08297,"2803-2949 W Skyline Pkwy, Duluth, MN 55806",https://duluthmn.gov/parks/parks-trails/parks-listing/skyline-parkway/,"Skyline Parkway is one of Duluth's treasures, uniquely showcasing the city from end to end while providing spectacular views of Lake Superior and the St. Louis River Bay.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/89/3e/52/skyline-parkway.jpg?w=700&h=400&s=1
Hawk Ridge Observatory,46.84743,-92.03166,"E Skyline Pkwy, Duluth, MN 55804",https://www.hawkridge.org/,"The Hawk Ridge Nature Reserve is open year-round to public for study and enjoyment. With over 4 miles of hiking trails, you can explore geology, flora, and wildlife. Hawk Ridge Bird Observatory staff conduct bird research and provide public education during fall season.",,https://thehoppyhikers.com/wp-content/uploads/2023/08/snowshoe67.jpeg
